organization_name,city,province,region,country,website,organization_type,sector,certification_date,estimated_expiry_date,certifier,source,cis_preselection_notes
DAY RISTOSERVICE S.P.A. SOCIETA' BENEFIT,PADOVA,PD,Veneto,Italia,,azienda certificata PdR125,,2023-06-05,2026-06-05,TÜV Italia S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,"Lead Veneto PdR125 per progetto ethics. Certificata UNI/PdR 125:2022; certificazione emessa il 2023-06-05; scadenza stimata 2026-06-05 assumendo validità triennale; ente certificatore: TÜV Italia S.r.l.. Da verificare in WB0/WB1: sito ufficiale, settore rilevante, struttura del gruppo, referente e canale di contatto. Gancio ethics: rinnovo triennale PdR125, ordine documentale, evidenze per audit, possibile supporto operativo con E-docs."
TELEBIT SPA,DOSSON DI CASIER,TV,Veneto,Italia,,azienda certificata PdR125,,2023-06-13,2026-06-13,IMQ S.p.A.,Accredia filtro Veneto UNI/PdR 125:2022,"Lead Veneto PdR125 per progetto ethics. Certificata UNI/PdR 125:2022; certificazione emessa il 2023-06-13; scadenza stimata 2026-06-13 assumendo validità triennale; ente certificatore: IMQ S.p.A.. Da verificare in WB0/WB1: sito ufficiale, settore rilevante, struttura del gruppo, referente e canale di contatto. Gancio ethics: rinnovo triennale PdR125, ordine documentale, evidenze per audit, possibile supporto operativo con E-docs."
BASTONE SALVATORE SRL,VICENZA,VI,Veneto,Italia,,azienda certificata PdR125,,2023-06-16,2026-06-16,AFNOR ITALIA S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,"Lead Veneto PdR125 per progetto ethics. Certificata UNI/PdR 125:2022; certificazione emessa il 2023-06-16; scadenza stimata 2026-06-16 assumendo validità triennale; ente certificatore: AFNOR ITALIA S.r.l.. Da verificare in WB0/WB1: sito ufficiale, settore rilevante, struttura del gruppo, referente e canale di contatto. Gancio ethics: rinnovo triennale PdR125, ordine documentale, evidenze per audit, possibile supporto operativo con E-docs."
PROJECT AUTOMATION SPA,SAN MARTINO BUON ALBERGO,VR,Veneto,Italia,,azienda certificata PdR125,,2023-06-16,2026-06-16,IMQ S.p.A.,Accredia filtro Veneto UNI/PdR 125:2022,"Lead Veneto PdR125 per progetto ethics. Certificata UNI/PdR 125:2022; certificazione emessa il 2023-06-16; scadenza stimata 2026-06-16 assumendo validità triennale; ente certificatore: IMQ S.p.A.. Da verificare in WB0/WB1: sito ufficiale, settore rilevante, struttura del gruppo, referente e canale di contatto. Gancio ethics: rinnovo triennale PdR125, ordine documentale, evidenze per audit, possibile supporto operativo con E-docs."
yex CHANGE S.r.l. a s.u.,Venezia,VE,Veneto,Italia,,azienda certificata PdR125,,2023-06-19,2026-06-19,DASA RÄGISTER S.p.A.,Accredia filtro Veneto UNI/PdR 125:2022,"Lead Veneto PdR125 per progetto ethics. Certificata UNI/PdR 125:2022; certificazione emessa il 2023-06-19; scadenza stimata 2026-06-19 assumendo validità triennale; ente certificatore: DASA RÄGISTER S.p.A.. Da verificare in WB0/WB1: sito ufficiale, settore rilevante, struttura del gruppo, referente e canale di contatto. Gancio ethics: rinnovo triennale PdR125, ordine documentale, evidenze per audit, possibile supporto operativo con E-docs."
Serenissima Ristorazione S.p.A.,VICENZA,VI,Veneto,Italia,,azienda certificata PdR125,,2023-06-21,2026-06-21,CSQA Certificazioni S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,"Lead Veneto PdR125 per progetto ethics. Certificata UNI/PdR 125:2022; certificazione emessa il 2023-06-21; scadenza stimata 2026-06-21 assumendo validità triennale; ente certificatore: CSQA Certificazioni S.r.l.. Da verificare in WB0/WB1: sito ufficiale, settore rilevante, struttura del gruppo, referente e canale di contatto. Gancio ethics: rinnovo triennale PdR125, ordine documentale, evidenze per audit, possibile supporto operativo con E-docs."
DIFFERENT S.P.A.,PADOVA,PD,Veneto,Italia,,azienda certificata PdR125,,2023-06-26,2026-06-26,ICDQ S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,"Lead Veneto PdR125 per progetto ethics. Certificata UNI/PdR 125:2022; certificazione emessa il 2023-06-26; scadenza stimata 2026-06-26 assumendo validità triennale; ente certificatore: ICDQ S.r.l.. Da verificare in WB0/WB1: sito ufficiale, settore rilevante, struttura del gruppo, referente e canale di contatto. Gancio ethics: rinnovo triennale PdR125, ordine documentale, evidenze per audit, possibile supporto operativo con E-docs."
ONDULATI NORDEST S.P.A.,Meolo,VE,Veneto,Italia,,azienda certificata PdR125,,2023-06-27,2026-06-27,QUASER CERTIFICAZIONI S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,"Lead Veneto PdR125 per progetto ethics. Certificata UNI/PdR 125:2022; certificazione emessa il 2023-06-27; scadenza stimata 2026-06-27 assumendo validità triennale; ente certificatore: QUASER CERTIFICAZIONI S.r.l.. Da verificare in WB0/WB1: sito ufficiale, settore rilevante, struttura del gruppo, referente e canale di contatto. Gancio ethics: rinnovo triennale PdR125, ordine documentale, evidenze per audit, possibile supporto operativo con E-docs."
PRESTITER S.P.A.,Padova,PD,Veneto,Italia,,azienda certificata PdR125,,2023-06-27,2026-06-27,GCERTI ITALY ASSESSMENT & CERTIFICATION S.r.l. Società Benefit,Accredia filtro Veneto UNI/PdR 125:2022,"Lead Veneto PdR125 per progetto ethics. Certificata UNI/PdR 125:2022; certificazione emessa il 2023-06-27; scadenza stimata 2026-06-27 assumendo validità triennale; ente certificatore: GCERTI ITALY ASSESSMENT & CERTIFICATION S.r.l. Società Benefit. Da verificare in WB0/WB1: sito ufficiale, settore rilevante, struttura del gruppo, referente e canale di contatto. Gancio ethics: rinnovo triennale PdR125, ordine documentale, evidenze per audit, possibile supporto operativo con E-docs."
SCATOLIFICIO IDEALKART S.R.L.,Meolo,VE,Veneto,Italia,,azienda certificata PdR125,,2023-06-27,2026-06-27,QUASER CERTIFICAZIONI S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,"Lead Veneto PdR125 per progetto ethics. Certificata UNI/PdR 125:2022; certificazione emessa il 2023-06-27; scadenza stimata 2026-06-27 assumendo validità triennale; ente certificatore: QUASER CERTIFICAZIONI S.r.l.. Da verificare in WB0/WB1: sito ufficiale, settore rilevante, struttura del gruppo, referente e canale di contatto. Gancio ethics: rinnovo triennale PdR125, ordine documentale, evidenze per audit, possibile supporto operativo con E-docs."
MBCREDIT SOLUTIONS S.P.A.,Padova,PD,Veneto,Italia,,azienda certificata PdR125,,2023-06-29,2026-06-29,QUASER CERTIFICAZIONI S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,"Lead Veneto PdR125 per progetto ethics. Certificata UNI/PdR 125:2022; certificazione emessa il 2023-06-29; scadenza stimata 2026-06-29 assumendo validità triennale; ente certificatore: QUASER CERTIFICAZIONI S.r.l.. Da verificare in WB0/WB1: sito ufficiale, settore rilevante, struttura del gruppo, referente e canale di contatto. Gancio ethics: rinnovo triennale PdR125, ordine documentale, evidenze per audit, possibile supporto operativo con E-docs."
ZETA SRL,Chioggia,VE,Veneto,Italia,,azienda certificata PdR125,,2023-06-29,2026-06-29,Italy Bureau of Certification S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,"Lead Veneto PdR125 per progetto ethics. Certificata UNI/PdR 125:2022; certificazione emessa il 2023-06-29; scadenza stimata 2026-06-29 assumendo validità triennale; ente certificatore: Italy Bureau of Certification S.r.l.. Da verificare in WB0/WB1: sito ufficiale, settore rilevante, struttura del gruppo, referente e canale di contatto. Gancio ethics: rinnovo triennale PdR125, ordine documentale, evidenze per audit, possibile supporto operativo con E-docs."
NEXUMSTP S.P.A. SOCIETA' TRA PROFESSIONISTI,BRENDOLA,VI,Veneto,Italia,,azienda certificata PdR125,,2023-07-05,2026-07-05,RINA Services S.p.A.,Accredia filtro Veneto UNI/PdR 125:2022,"Lead Veneto PdR125 per progetto ethics. Certificata UNI/PdR 125:2022; certificazione emessa il 2023-07-05; scadenza stimata 2026-07-05 assumendo validità triennale; ente certificatore: RINA Services S.p.A.. Da verificare in WB0/WB1: sito ufficiale, settore rilevante, struttura del gruppo, referente e canale di contatto. Gancio ethics: rinnovo triennale PdR125, ordine documentale, evidenze per audit, possibile supporto operativo con E-docs."
Open Fiber S.p.A.,PADOVA,PD,Veneto,Italia,,azienda certificata PdR125,,2023-07-05,2026-07-05,SGS ICS ITALIA S.R.L.,Accredia filtro Veneto UNI/PdR 125:2022,"Lead Veneto PdR125 per progetto ethics. Certificata UNI/PdR 125:2022; certificazione emessa il 2023-07-05; scadenza stimata 2026-07-05 assumendo validità triennale; ente certificatore: SGS ICS ITALIA S.R.L.. Da verificare in WB0/WB1: sito ufficiale, settore rilevante, struttura del gruppo, referente e canale di contatto. Gancio ethics: rinnovo triennale PdR125, ordine documentale, evidenze per audit, possibile supporto operativo con E-docs."
WINTIME S.P.A. - AGENZIA PER IL LAVORO,VICENZA,VI,Veneto,Italia,,azienda certificata PdR125,,2023-07-07,2026-07-07,GCERTI ITALY ASSESSMENT & CERTIFICATION S.r.l. Società Benefit,Accredia filtro Veneto UNI/PdR 125:2022,"Lead Veneto PdR125 per progetto ethics. Certificata UNI/PdR 125:2022; certificazione emessa il 2023-07-07; scadenza stimata 2026-07-07 assumendo validità triennale; ente certificatore: GCERTI ITALY ASSESSMENT & CERTIFICATION S.r.l. Società Benefit. Da verificare in WB0/WB1: sito ufficiale, settore rilevante, struttura del gruppo, referente e canale di contatto. Gancio ethics: rinnovo triennale PdR125, ordine documentale, evidenze per audit, possibile supporto operativo con E-docs."
GEMMO S.P.A.,Arcugnano,VI,Veneto,Italia,,azienda certificata PdR125,,2023-07-10,2026-07-10,GCERTI ITALY ASSESSMENT & CERTIFICATION S.r.l. Società Benefit,Accredia filtro Veneto UNI/PdR 125:2022,"Lead Veneto PdR125 per progetto ethics. Certificata UNI/PdR 125:2022; certificazione emessa il 2023-07-10; scadenza stimata 2026-07-10 assumendo validità triennale; ente certificatore: GCERTI ITALY ASSESSMENT & CERTIFICATION S.r.l. Società Benefit. Da verificare in WB0/WB1: sito ufficiale, settore rilevante, struttura del gruppo, referente e canale di contatto. Gancio ethics: rinnovo triennale PdR125, ordine documentale, evidenze per audit, possibile supporto operativo con E-docs."
INTELLERA CONSULTING S.P.A.,VERONA,VR,Veneto,Italia,,azienda certificata PdR125,,2023-07-10,2026-07-10,RINA Services S.p.A.,Accredia filtro Veneto UNI/PdR 125:2022,"Lead Veneto PdR125 per progetto ethics. Certificata UNI/PdR 125:2022; certificazione emessa il 2023-07-10; scadenza stimata 2026-07-10 assumendo validità triennale; ente certificatore: RINA Services S.p.A.. Da verificare in WB0/WB1: sito ufficiale, settore rilevante, struttura del gruppo, referente e canale di contatto. Gancio ethics: rinnovo triennale PdR125, ordine documentale, evidenze per audit, possibile supporto operativo con E-docs."
ELETECNO ST S.p.A.,Mestre,VE,Veneto,Italia,,azienda certificata PdR125,,2023-07-11,2026-07-11,SQS Italia S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,"Lead Veneto PdR125 per progetto ethics. Certificata UNI/PdR 125:2022; certificazione emessa il 2023-07-11; scadenza stimata 2026-07-11 assumendo validità triennale; ente certificatore: SQS Italia S.r.l.. Da verificare in WB0/WB1: sito ufficiale, settore rilevante, struttura del gruppo, referente e canale di contatto. Gancio ethics: rinnovo triennale PdR125, ordine documentale, evidenze per audit, possibile supporto operativo con E-docs."
E.LU.S. SRL,VENEZIA,VE,Veneto,Italia,,azienda certificata PdR125,,2023-07-14,2026-07-14,RINA Services S.p.A.,Accredia filtro Veneto UNI/PdR 125:2022,"Lead Veneto PdR125 per progetto ethics. Certificata UNI/PdR 125:2022; certificazione emessa il 2023-07-14; scadenza stimata 2026-07-14 assumendo validità triennale; ente certificatore: RINA Services S.p.A.. Da verificare in WB0/WB1: sito ufficiale, settore rilevante, struttura del gruppo, referente e canale di contatto. Gancio ethics: rinnovo triennale PdR125, ordine documentale, evidenze per audit, possibile supporto operativo con E-docs."
Aldia Cooperativa Sociale,Verona,VR,Veneto,Italia,,azienda certificata PdR125,,2023-07-17,2026-07-17,QUASER CERTIFICAZIONI S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,"Lead Veneto PdR125 per progetto ethics. Certificata UNI/PdR 125:2022; certificazione emessa il 2023-07-17; scadenza stimata 2026-07-17 assumendo validità triennale; ente certificatore: QUASER CERTIFICAZIONI S.r.l.. Da verificare in WB0/WB1: sito ufficiale, settore rilevante, struttura del gruppo, referente e canale di contatto. Gancio ethics: rinnovo triennale PdR125, ordine documentale, evidenze per audit, possibile supporto operativo con E-docs."
PODERI DUCALI RUFFINO S.R.L. SOCIETA' AGRICOLA,SAN DONA' DI PIAVE,VE,Veneto,Italia,,azienda certificata PdR125,,2023-07-18,2026-07-18,Q-AID ASSESSMENT & CERTIFICATION S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,"Lead Veneto PdR125 per progetto ethics. Certificata UNI/PdR 125:2022; certificazione emessa il 2023-07-18; scadenza stimata 2026-07-18 assumendo validità triennale; ente certificatore: Q-AID ASSESSMENT & CERTIFICATION S.r.l.. Da verificare in WB0/WB1: sito ufficiale, settore rilevante, struttura del gruppo, referente e canale di contatto. Gancio ethics: rinnovo triennale PdR125, ordine documentale, evidenze per audit, possibile supporto operativo con E-docs."
TENUTE RUFFINO S.R.L. SOCIETA' AGRICOLA,CESSALTO,TV,Veneto,Italia,,azienda certificata PdR125,,2023-07-18,2026-07-18,Q-AID ASSESSMENT & CERTIFICATION S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,"Lead Veneto PdR125 per progetto ethics. Certificata UNI/PdR 125:2022; certificazione emessa il 2023-07-18; scadenza stimata 2026-07-18 assumendo validità triennale; ente certificatore: Q-AID ASSESSMENT & CERTIFICATION S.r.l.. Da verificare in WB0/WB1: sito ufficiale, settore rilevante, struttura del gruppo, referente e canale di contatto. Gancio ethics: rinnovo triennale PdR125, ordine documentale, evidenze per audit, possibile supporto operativo con E-docs."
BUSINESS INTEGRATION PARTNERS S.P.A,PADOVA,PD,Veneto,Italia,,azienda certificata PdR125,,2023-07-19,2026-07-19,Bureau Veritas Certification Holding SAS Italy Branch,Accredia filtro Veneto UNI/PdR 125:2022,"Lead Veneto PdR125 per progetto ethics. Certificata UNI/PdR 125:2022; certificazione emessa il 2023-07-19; scadenza stimata 2026-07-19 assumendo validità triennale; ente certificatore: Bureau Veritas Certification Holding SAS Italy Branch. Da verificare in WB0/WB1: sito ufficiale, settore rilevante, struttura del gruppo, referente e canale di contatto. Gancio ethics: rinnovo triennale PdR125, ordine documentale, evidenze per audit, possibile supporto operativo con E-docs."
e-MARINE SRL,Chioggia,VE,Veneto,Italia,,azienda certificata PdR125,,2023-07-19,2026-07-19,Italy Bureau of Certification S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,"Lead Veneto PdR125 per progetto ethics. Certificata UNI/PdR 125:2022; certificazione emessa il 2023-07-19; scadenza stimata 2026-07-19 assumendo validità triennale; ente certificatore: Italy Bureau of Certification S.r.l.. Da verificare in WB0/WB1: sito ufficiale, settore rilevante, struttura del gruppo, referente e canale di contatto. Gancio ethics: rinnovo triennale PdR125, ordine documentale, evidenze per audit, possibile supporto operativo con E-docs."
EY Advisory S.p.A.,TREVISO,TV,Veneto,Italia,,azienda certificata PdR125,,2023-07-19,2026-07-19,CERTIQUALITY S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,"Lead Veneto PdR125 per progetto ethics. Certificata UNI/PdR 125:2022; certificazione emessa il 2023-07-19; scadenza stimata 2026-07-19 assumendo validità triennale; ente certificatore: CERTIQUALITY S.r.l.. Da verificare in WB0/WB1: sito ufficiale, settore rilevante, struttura del gruppo, referente e canale di contatto. Gancio ethics: rinnovo triennale PdR125, ordine documentale, evidenze per audit, possibile supporto operativo con E-docs."
EY S.P.A.,VERONA,VR,Veneto,Italia,,azienda certificata PdR125,,2023-07-19,2026-07-19,CERTIQUALITY S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,"Lead Veneto PdR125 per progetto ethics. Certificata UNI/PdR 125:2022; certificazione emessa il 2023-07-19; scadenza stimata 2026-07-19 assumendo validità triennale; ente certificatore: CERTIQUALITY S.r.l.. Da verificare in WB0/WB1: sito ufficiale, settore rilevante, struttura del gruppo, referente e canale di contatto. Gancio ethics: rinnovo triennale PdR125, ordine documentale, evidenze per audit, possibile supporto operativo con E-docs."
Deloitte & Touche Spa,Verona,VR,Veneto,Italia,,azienda certificata PdR125,,2023-07-20,2026-07-20,BSI Group Italia S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,"Lead Veneto PdR125 per progetto ethics. Certificata UNI/PdR 125:2022; certificazione emessa il 2023-07-20; scadenza stimata 2026-07-20 assumendo validità triennale; ente certificatore: BSI Group Italia S.r.l.. Da verificare in WB0/WB1: sito ufficiale, settore rilevante, struttura del gruppo, referente e canale di contatto. Gancio ethics: rinnovo triennale PdR125, ordine documentale, evidenze per audit, possibile supporto operativo con E-docs."
Deloitte Climate & Sustainability S.r.l. S.B.,Verona,VR,Veneto,Italia,,azienda certificata PdR125,,2023-07-20,2026-07-20,BSI Group Italia S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,"Lead Veneto PdR125 per progetto ethics. Certificata UNI/PdR 125:2022; certificazione emessa il 2023-07-20; scadenza stimata 2026-07-20 assumendo validità triennale; ente certificatore: BSI Group Italia S.r.l.. Da verificare in WB0/WB1: sito ufficiale, settore rilevante, struttura del gruppo, referente e canale di contatto. Gancio ethics: rinnovo triennale PdR125, ordine documentale, evidenze per audit, possibile supporto operativo con E-docs."
Deloitte Consulting S.r.l. S.B.,Vicenza,VI,Veneto,Italia,,azienda certificata PdR125,,2023-07-20,2026-07-20,BSI Group Italia S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,"Lead Veneto PdR125 per progetto ethics. Certificata UNI/PdR 125:2022; certificazione emessa il 2023-07-20; scadenza stimata 2026-07-20 assumendo validità triennale; ente certificatore: BSI Group Italia S.r.l.. Da verificare in WB0/WB1: sito ufficiale, settore rilevante, struttura del gruppo, referente e canale di contatto. Gancio ethics: rinnovo triennale PdR125, ordine documentale, evidenze per audit, possibile supporto operativo con E-docs."
INSIEME SOCIETA' COOPERATIVA SOCIALE A R.L.,VICENZA,VI,Veneto,Italia,,azienda certificata PdR125,,2023-07-21,2026-07-21,RINA Services S.p.A.,Accredia filtro Veneto UNI/PdR 125:2022,"Lead Veneto PdR125 per progetto ethics. Certificata UNI/PdR 125:2022; certificazione emessa il 2023-07-21; scadenza stimata 2026-07-21 assumendo validità triennale; ente certificatore: RINA Services S.p.A.. Da verificare in WB0/WB1: sito ufficiale, settore rilevante, struttura del gruppo, referente e canale di contatto. Gancio ethics: rinnovo triennale PdR125, ordine documentale, evidenze per audit, possibile supporto operativo con E-docs."
ORION SOCIETÀ COOPERATIVA,Verona,VR,Veneto,Italia,,azienda certificata PdR125,,2023-07-21,2026-07-21,GCERTI ITALY ASSESSMENT & CERTIFICATION S.r.l. Società Benefit,Accredia filtro Veneto UNI/PdR 125:2022,"Lead Veneto PdR125 per progetto ethics. Certificata UNI/PdR 125:2022; certificazione emessa il 2023-07-21; scadenza stimata 2026-07-21 assumendo validità triennale; ente certificatore: GCERTI ITALY ASSESSMENT & CERTIFICATION S.r.l. Società Benefit. Da verificare in WB0/WB1: sito ufficiale, settore rilevante, struttura del gruppo, referente e canale di contatto. Gancio ethics: rinnovo triennale PdR125, ordine documentale, evidenze per audit, possibile supporto operativo con E-docs."
PRE.FER. S.R.L.,PIACENZA D'ADIGE,PD,Veneto,Italia,,azienda certificata PdR125,,2023-07-21,2026-07-21,RINA Services S.p.A.,Accredia filtro Veneto UNI/PdR 125:2022,"Lead Veneto PdR125 per progetto ethics. Certificata UNI/PdR 125:2022; certificazione emessa il 2023-07-21; scadenza stimata 2026-07-21 assumendo validità triennale; ente certificatore: RINA Services S.p.A.. Da verificare in WB0/WB1: sito ufficiale, settore rilevante, struttura del gruppo, referente e canale di contatto. Gancio ethics: rinnovo triennale PdR125, ordine documentale, evidenze per audit, possibile supporto operativo con E-docs."
VITTADELLO S.p.A.,Limena,PD,Veneto,Italia,,azienda certificata PdR125,,2023-07-21,2026-07-21,CERTITALIA S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,"Lead Veneto PdR125 per progetto ethics. Certificata UNI/PdR 125:2022; certificazione emessa il 2023-07-21; scadenza stimata 2026-07-21 assumendo validità triennale; ente certificatore: CERTITALIA S.r.l.. Da verificare in WB0/WB1: sito ufficiale, settore rilevante, struttura del gruppo, referente e canale di contatto. Gancio ethics: rinnovo triennale PdR125, ordine documentale, evidenze per audit, possibile supporto operativo con E-docs."
ALBA S.R.L.,Martellago,VE,Veneto,Italia,,azienda certificata PdR125,,2023-07-26,2026-07-26,GCERTI ITALY ASSESSMENT & CERTIFICATION S.r.l. Società Benefit,Accredia filtro Veneto UNI/PdR 125:2022,"Lead Veneto PdR125 per progetto ethics. Certificata UNI/PdR 125:2022; certificazione emessa il 2023-07-26; scadenza stimata 2026-07-26 assumendo validità triennale; ente certificatore: GCERTI ITALY ASSESSMENT & CERTIFICATION S.r.l. Società Benefit. Da verificare in WB0/WB1: sito ufficiale, settore rilevante, struttura del gruppo, referente e canale di contatto. Gancio ethics: rinnovo triennale PdR125, ordine documentale, evidenze per audit, possibile supporto operativo con E-docs."
ALI S.p.A.,Thiene,VI,Veneto,Italia,,azienda certificata PdR125,,2023-07-26,2026-07-26,QUASER CERTIFICAZIONI S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,"Lead Veneto PdR125 per progetto ethics. Certificata UNI/PdR 125:2022; certificazione emessa il 2023-07-26; scadenza stimata 2026-07-26 assumendo validità triennale; ente certificatore: QUASER CERTIFICAZIONI S.r.l.. Da verificare in WB0/WB1: sito ufficiale, settore rilevante, struttura del gruppo, referente e canale di contatto. Gancio ethics: rinnovo triennale PdR125, ordine documentale, evidenze per audit, possibile supporto operativo con E-docs."
COOPERATIVA SOCIALE SERVIZI ASSOCIATIC.S.S.A. SOC. COOP. A R.L.,SPINEA,VE,Veneto,Italia,,azienda certificata PdR125,,2023-07-27,2026-07-27,CERTIQUALITY S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,"Lead Veneto PdR125 per progetto ethics. Certificata UNI/PdR 125:2022; certificazione emessa il 2023-07-27; scadenza stimata 2026-07-27 assumendo validità triennale; ente certificatore: CERTIQUALITY S.r.l.. Da verificare in WB0/WB1: sito ufficiale, settore rilevante, struttura del gruppo, referente e canale di contatto. Gancio ethics: rinnovo triennale PdR125, ordine documentale, evidenze per audit, possibile supporto operativo con E-docs."
UP AGENZIA PER IL LAVORO S.P.A.,Occhiobello,RO,Veneto,Italia,,azienda certificata PdR125,,2023-07-27,2026-07-27,GCERTI ITALY ASSESSMENT & CERTIFICATION S.r.l. Società Benefit,Accredia filtro Veneto UNI/PdR 125:2022,"Lead Veneto PdR125 per progetto ethics. Certificata UNI/PdR 125:2022; certificazione emessa il 2023-07-27; scadenza stimata 2026-07-27 assumendo validità triennale; ente certificatore: GCERTI ITALY ASSESSMENT & CERTIFICATION S.r.l. Società Benefit. Da verificare in WB0/WB1: sito ufficiale, settore rilevante, struttura del gruppo, referente e canale di contatto. Gancio ethics: rinnovo triennale PdR125, ordine documentale, evidenze per audit, possibile supporto operativo con E-docs."
Intersistemi italia S.p.A.,Padova,PD,Veneto,Italia,,azienda certificata PdR125,,2023-08-01,2026-08-01,SI CERT ITALY S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,"Lead Veneto PdR125 per progetto ethics. Certificata UNI/PdR 125:2022; certificazione emessa il 2023-08-01; scadenza stimata 2026-08-01 assumendo validità triennale; ente certificatore: SI CERT ITALY S.r.l.. Da verificare in WB0/WB1: sito ufficiale, settore rilevante, struttura del gruppo, referente e canale di contatto. Gancio ethics: rinnovo triennale PdR125, ordine documentale, evidenze per audit, possibile supporto operativo con E-docs."
IRIDEOS S.p.A.,Verona,VR,Veneto,Italia,,azienda certificata PdR125,,2023-08-01,2026-08-01,DNV Business Assurance Italy S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,"Lead Veneto PdR125 per progetto ethics. Certificata UNI/PdR 125:2022; certificazione emessa il 2023-08-01; scadenza stimata 2026-08-01 assumendo validità triennale; ente certificatore: DNV Business Assurance Italy S.r.l.. Da verificare in WB0/WB1: sito ufficiale, settore rilevante, struttura del gruppo, referente e canale di contatto. Gancio ethics: rinnovo triennale PdR125, ordine documentale, evidenze per audit, possibile supporto operativo con E-docs."
VODAFONE ITALIA S.P.A.,VERONA,VR,Veneto,Italia,,azienda certificata PdR125,,2023-08-02,2026-08-02,RINA Services S.p.A.,Accredia filtro Veneto UNI/PdR 125:2022,"Lead Veneto PdR125 per progetto ethics. Certificata UNI/PdR 125:2022; certificazione emessa il 2023-08-02; scadenza stimata 2026-08-02 assumendo validità triennale; ente certificatore: RINA Services S.p.A.. Da verificare in WB0/WB1: sito ufficiale, settore rilevante, struttura del gruppo, referente e canale di contatto. Gancio ethics: rinnovo triennale PdR125, ordine documentale, evidenze per audit, possibile supporto operativo con E-docs."
Confartigianato Imprese AsoloMontebelluna,Asolo,TV,Veneto,Italia,,azienda certificata PdR125,,2023-08-03,2026-08-03,ECO European Certifying Organization S.p.A.,Accredia filtro Veneto UNI/PdR 125:2022,"Lead Veneto PdR125 per progetto ethics. Certificata UNI/PdR 125:2022; certificazione emessa il 2023-08-03; scadenza stimata 2026-08-03 assumendo validità triennale; ente certificatore: ECO European Certifying Organization S.p.A.. Da verificare in WB0/WB1: sito ufficiale, settore rilevante, struttura del gruppo, referente e canale di contatto. Gancio ethics: rinnovo triennale PdR125, ordine documentale, evidenze per audit, possibile supporto operativo con E-docs."
Confartigianato Servizi AsoloMontebelluna S.r.l.,Asolo,TV,Veneto,Italia,,azienda certificata PdR125,,2023-08-03,2026-08-03,ECO European Certifying Organization S.p.A.,Accredia filtro Veneto UNI/PdR 125:2022,"Lead Veneto PdR125 per progetto ethics. Certificata UNI/PdR 125:2022; certificazione emessa il 2023-08-03; scadenza stimata 2026-08-03 assumendo validità triennale; ente certificatore: ECO European Certifying Organization S.p.A.. Da verificare in WB0/WB1: sito ufficiale, settore rilevante, struttura del gruppo, referente e canale di contatto. Gancio ethics: rinnovo triennale PdR125, ordine documentale, evidenze per audit, possibile supporto operativo con E-docs."
CONFORM - CONSULENZA FORMAZIONE E MANAGEMENT SOCIETÀ CONSORTILE A RESPONSABILITÀ LIMITATA,Padova,PD,Veneto,Italia,,azienda certificata PdR125,,2023-08-04,2026-08-04,GCERTI ITALY ASSESSMENT & CERTIFICATION S.r.l. Società Benefit,Accredia filtro Veneto UNI/PdR 125:2022,"Lead Veneto PdR125 per progetto ethics. Certificata UNI/PdR 125:2022; certificazione emessa il 2023-08-04; scadenza stimata 2026-08-04 assumendo validità triennale; ente certificatore: GCERTI ITALY ASSESSMENT & CERTIFICATION S.r.l. Società Benefit. Da verificare in WB0/WB1: sito ufficiale, settore rilevante, struttura del gruppo, referente e canale di contatto. Gancio ethics: rinnovo triennale PdR125, ordine documentale, evidenze per audit, possibile supporto operativo con E-docs."
NO.DO. e SERVIZI SRL,Silea,TV,Veneto,Italia,,azienda certificata PdR125,,2023-08-04,2026-08-04,UNITER S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,"Lead Veneto PdR125 per progetto ethics. Certificata UNI/PdR 125:2022; certificazione emessa il 2023-08-04; scadenza stimata 2026-08-04 assumendo validità triennale; ente certificatore: UNITER S.r.l.. Da verificare in WB0/WB1: sito ufficiale, settore rilevante, struttura del gruppo, referente e canale di contatto. Gancio ethics: rinnovo triennale PdR125, ordine documentale, evidenze per audit, possibile supporto operativo con E-docs."
