organization_name,city,province,region,country,website,organization_type,sector,certification_date,estimated_expiry_date,certifier,source,cis_preselection_notes,sector_preselection_reason
MU.BRE. COSTRUZIONI S.r.l.,Marostica,VI,Veneto,Italia,,azienda certificata PdR125,,2023-08-16,2026-08-16,CERTITALIA S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,"Lead Veneto PdR125 per progetto ethics. Certificata UNI/PdR 125:2022; certificazione emessa il 2023-08-16; scadenza stimata 2026-08-16 assumendo validità triennale; ente certificatore: CERTITALIA S.r.l.. Da verificare in WB0/WB1: sito ufficiale, settore rilevante, struttura del gruppo, referente e canale di contatto. Gancio ethics: rinnovo triennale PdR125, ordine documentale, evidenze per audit, possibile supporto operativo con E-docs. Preselezione Vicenza: inclusa per nome compatibile con settori rilevanti ethics (costru).",match nome azienda su parole chiave: costru
CITY GREEN LIGHT S.p.A.,Vicenza,VI,Veneto,Italia,,azienda certificata PdR125,,2023-10-19,2026-10-19,DNV Business Assurance Italy S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,"Lead Veneto PdR125 per progetto ethics. Certificata UNI/PdR 125:2022; certificazione emessa il 2023-10-19; scadenza stimata 2026-10-19 assumendo validità triennale; ente certificatore: DNV Business Assurance Italy S.r.l.. Da verificare in WB0/WB1: sito ufficiale, settore rilevante, struttura del gruppo, referente e canale di contatto. Gancio ethics: rinnovo triennale PdR125, ordine documentale, evidenze per audit, possibile supporto operativo con E-docs. Preselezione Vicenza: inclusa per nome compatibile con settori rilevanti ethics (green).",match nome azienda su parole chiave: green
EDILFLOOR S.p.A.,Sandrigo,VI,Veneto,Italia,,azienda certificata PdR125,,2023-10-23,2026-10-23,DNV Business Assurance Italy S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,"Lead Veneto PdR125 per progetto ethics. Certificata UNI/PdR 125:2022; certificazione emessa il 2023-10-23; scadenza stimata 2026-10-23 assumendo validità triennale; ente certificatore: DNV Business Assurance Italy S.r.l.. Da verificare in WB0/WB1: sito ufficiale, settore rilevante, struttura del gruppo, referente e canale di contatto. Gancio ethics: rinnovo triennale PdR125, ordine documentale, evidenze per audit, possibile supporto operativo con E-docs. Preselezione Vicenza: inclusa per nome compatibile con settori rilevanti ethics (edil).",match nome azienda su parole chiave: edil
ODOS SERVIZI S.r.l.,Vicenza,VI,Veneto,Italia,,azienda certificata PdR125,,2023-12-22,2026-12-22,DNV Business Assurance Italy S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,"Lead Veneto PdR125 per progetto ethics. Certificata UNI/PdR 125:2022; certificazione emessa il 2023-12-22; scadenza stimata 2026-12-22 assumendo validità triennale; ente certificatore: DNV Business Assurance Italy S.r.l.. Da verificare in WB0/WB1: sito ufficiale, settore rilevante, struttura del gruppo, referente e canale di contatto. Gancio ethics: rinnovo triennale PdR125, ordine documentale, evidenze per audit, possibile supporto operativo con E-docs. Preselezione Vicenza: inclusa per nome compatibile con settori rilevanti ethics (servizi).",match nome azienda su parole chiave: servizi
